,u,i,ts,label,idx
657,15,13,1598189879200.0,0,657
658,19,13,1598189881400.0,0,658
659,3,5,1598189889880.0,0,659
660,5,8,1598189892360.0,0,660
661,15,11,1598189944120.0,0,661
662,11,24,1598189945600.0,shot,662
663,10,17,1598189981520.0,0,663
664,2,23,1598189982640.0,clearence,664
665,22,23,1598189985720.0,ball out,665
666,10,13,1598189988840.0,0,666
667,6,13,1598189991160.0,tackle,667
668,5,23,1598189992400.0,clearence,668
669,1,1,1598189996120.0,0,669
670,4,9,1598189997040.0,0,670
671,18,9,1598189999920.0,tackle,671
672,14,15,1598190001800.0,0,672
673,6,15,1598190003280.0,tackle,673
674,17,18,1598190008920.0,0,674
675,18,16,1598190012680.0,0,675
676,16,17,1598190014920.0,0,676
677,17,10,1598190016880.0,0,677
678,10,11,1598190024760.0,0,678
679,11,24,1598190026800.0,shot,679
680,20,20,1598190044400.0,0,680
681,5,1,1598190051400.0,0,681
682,18,23,1598190056440.0,clearence,682
683,22,23,1598190059240.0,ball out,683
684,3,6,1598190064040.0,0,684
685,13,6,1598190067280.0,tackle,685
686,6,1,1598190071680.0,0,686
687,14,13,1598190094120.0,0,687
688,5,22,1598190096160.0,interception,688
689,5,9,1598190097080.0,0,689
690,19,10,1598190098200.0,0,690
691,0,1,1598190107080.0,0,691
692,21,21,1598190149520.0,0,692
693,12,16,1598190168720.0,0,693
694,16,18,1598190172000.0,0,694
695,18,15,1598190178600.0,0,695
696,15,14,1598190180640.0,0,696
697,14,15,1598190182600.0,0,697
698,6,15,1598190185040.0,tackle,698
699,9,2,1598190185480.0,0,699
700,1,22,1598190191280.0,dribble,700
701,18,1,1598190191360.0,tackle,701
702,22,23,1598190192040.0,ball out,702
703,22,23,1598190192040.0,ball out,703
704,3,8,1598190200520.0,0,704
705,8,9,1598190205840.0,0,705
706,10,22,1598190207160.0,interception,706
707,16,13,1598190208960.0,0,707
708,12,13,1598190215840.0,0,708
709,10,10,1598190219840.0,0,709
710,12,10,1598190225120.0,0,710
711,10,17,1598190227760.0,0,711
712,17,10,1598190232520.0,0,712
713,10,16,1598190233240.0,0,713
714,16,12,1598190241760.0,0,714
715,8,12,1598190244120.0,tackle,715
716,10,17,1598190247680.0,0,716
717,16,18,1598190250040.0,0,717
718,18,15,1598190254720.0,0,718
719,15,12,1598190257800.0,0,719
720,22,23,1598190261680.0,ball out,720
721,20,20,1598190283960.0,0,721
722,5,4,1598190286320.0,0,722
723,4,3,1598190290560.0,0,723
724,14,1,1598190292360.0,tackle,724
725,14,17,1598190294000.0,0,725
726,19,18,1598190298240.0,0,726
727,18,15,1598190300440.0,0,727
728,14,11,1598190301840.0,0,728
729,11,14,1598190302840.0,0,729
730,14,6,1598190304880.0,tackle,730
731,11,15,1598190309440.0,0,731
732,14,15,1598190312160.0,0,732
733,6,11,1598190314200.0,tackle,733
734,11,6,1598190317160.0,tackle,734
735,22,23,1598190318080.0,ball out,735
736,22,23,1598190318080.0,ball out,736
737,3,5,1598190332360.0,0,737
738,5,7,1598190335600.0,0,738
739,20,20,1598190337880.0,0,739
740,7,2,1598190345760.0,0,740
741,19,10,1598190350120.0,0,741
742,10,12,1598190351120.0,0,742
743,11,13,1598190353200.0,0,743
744,20,20,1598190359560.0,0,744
745,3,1,1598190363280.0,0,745
746,4,2,1598190379080.0,0,746
747,16,19,1598190401440.0,0,747
748,19,16,1598190402960.0,0,748
749,16,10,1598190405200.0,0,749
750,10,10,1598190406520.0,0,750
751,22,23,1598190407520.0,ball out,751
752,8,7,1598190413840.0,0,752
753,7,3,1598190417600.0,0,753
754,6,6,1598190420760.0,0,754
755,3,3,1598190425480.0,0,755
756,6,2,1598190427960.0,0,756
757,18,22,1598190429840.0,interception,757
